gkz,values,name,classIndices,friendlyUrl,type,selected,geometry,count_osm
05358048,[ 9.6999999999999993 ],Niederzier,[ 5 ],niederzier,GEMEINDE,,"MULTIPOLYGON (((6.536 50.8924, 6.5071 50.8523, 6.4504 50.8412, 6.4334 50.8575, 6.4127 50.8797, 6.429 50.8867, 6.419 50.8957, 6.4338 50.9258, 6.4548 50.9348, 6.4851 50.9521, 6.5026 50.9313, 6.5246 50.9319, 6.5192 50.8956, 6.536 50.8924)))",1.0
12068117,[ 7.2999999999999998 ],Fehrbellin,[ 3 ],fehrbellin,GEMEINDE,,"MULTIPOLYGON (((12.7165 52.7515, 12.6696 52.7693, 12.6511 52.7999, 12.6529 52.8061, 12.6636 52.8565, 12.7146 52.8651, 12.7778 52.8547, 12.8426 52.8673, 12.8935 52.8478, 12.9144 52.813, 12.9372 52.8072, 12.9238 52.8005, 12.9397 52.8034, 12.9096 52.7724, 12.9221 52.7706, 12.9212 52.7458, 12.8658 52.7229, 12.8797 52.7191, 12.8663 52.7114, 12.8255 52.7082, 12.8289 52.6951, 12.8337 52.6824, 12.7676 52.6954, 12.7408 52.7046, 12.7076 52.7283, 12.7165 52.7515)), ((12.9526 52.834, 12.9851 52.8285, 12.9389 52.8045, 12.9484 52.813, 12.9322 52.8258, 12.9526 52.834)))",1.0
09275126,[ 8.6999999999999993 ],Hauzenberg,[ 4 ],hauzenberg,GEMEINDE,,"MULTIPOLYGON (((13.6746 48.6886, 13.6762 48.6874, 13.7213 48.6429, 13.7197 48.6357, 13.5869 48.6016, 13.5597 48.6534, 13.542 48.6637, 13.5611 48.6865, 13.5903 48.6835, 13.6746 48.6886)))",0.0
05374044,[ 12.0 ],Waldbröl,[ 6 ],waldbroel,GEMEINDE,,"MULTIPOLYGON (((7.5122 50.8542, 7.5742 50.8701, 7.6139 50.9007, 7.6055 50.9091, 7.6207 50.9289, 7.6519 50.9022, 7.6775 50.903, 7.6866 50.8938, 7.6665 50.884, 7.6473 50.8349, 7.6194 50.8203, 7.5723 50.8424, 7.5281 50.8332, 7.5122 50.8542)))",3.0
08415060,[ 10.800000000000001 ],Pliezhausen,[ 5 ],pliezhausen,GEMEINDE,,"MULTIPOLYGON (((9.2222 48.5665, 9.2199 48.5534, 9.1714 48.5497, 9.1507 48.5456, 9.1254 48.5665, 9.1258 48.5822, 9.2072 48.5812, 9.208 48.5806, 9.2222 48.5665)))",1.0
06633023,[ 9.1999999999999993 ],Schauenburg,[ 4 ],schauenburg,GEMEINDE,,"MULTIPOLYGON (((9.2956 51.3017, 9.3505 51.3069, 9.398 51.2795, 9.3851 51.2639, 9.3371 51.2708, 9.3268 51.2576, 9.33 51.254, 9.3294 51.253, 9.3092 51.2492, 9.303 51.2662, 9.2545 51.2872, 9.2504 51.2927, 9.2956 51.3017)))",2.0
06436007,[ 8.5 ],Hofheim am Taunus,[ 4 ],hofheim-am-taunus,GEMEINDE,,"MULTIPOLYGON (((8.3501 50.1285, 8.3838 50.1425, 8.408 50.1331, 8.4747 50.1012, 8.4735 50.0984, 8.4462 50.0754, 8.4532 50.0594, 8.4127 50.0457, 8.3743 50.0521, 8.3544 50.0662, 8.3847 50.0765, 8.3804 50.1023, 8.3541 50.104, 8.3501 50.1285)))",9.0
14625020,[ 9.5 ],Bautzen (BZ),[ 5 ],bautzen-bz,GEMEINDE,,"MULTIPOLYGON (((14.4128 51.1484, 14.4162 51.1632, 14.3625 51.1634, 14.3706 51.1843, 14.3378 51.1789, 14.3246 51.1966, 14.3417 51.2219, 14.4049 51.2189, 14.465 51.2239, 14.488 51.2081, 14.4923 51.1868, 14.4738 51.1831, 14.4842 51.1681, 14.4427 51.151, 14.4219 51.138, 14.4128 51.1484)))",11.0
10042115,[ 4.0 ],Perl,[ 2 ],perl,GEMEINDE,,"MULTIPOLYGON (((6.4673 49.543, 6.4777 49.5311, 6.4478 49.5231, 6.4924 49.5209, 6.5008 49.5046, 6.4859 49.5004, 6.4983 49.4845, 6.4846 49.4523, 6.4282 49.4771, 6.3674 49.4695, 6.3568 49.5297, 6.3801 49.5512, 6.4673 49.543)))",2.0
06439005,[ 7.2999999999999998 ],Heidenrod,[ 3 ],heidenrod,GEMEINDE,,"MULTIPOLYGON (((7.9512 50.2143, 7.9898 50.2384, 8.0341 50.2156, 8.0343 50.2054, 8.0155 50.1783, 8.0374 50.1684, 8.0197 50.1315, 7.9559 50.1131, 7.9299 50.1037, 7.922 50.1345, 7.9329 50.1439, 7.8911 50.1622, 7.8829 50.1812, 7.9512 50.2143)))",1.0
06531005,[ 11.199999999999999 ],Gießen (GI),[ 6 ],giessen-gi,GEMEINDE,,"MULTIPOLYGON (((8.6163 50.5272, 8.5557 50.5357, 8.6187 50.565, 8.6431 50.5761, 8.6369 50.5945, 8.6775 50.6127, 8.6887 50.6347, 8.7271 50.6345, 8.7334 50.635, 8.7323 50.6108, 8.7627 50.6099, 8.7625 50.5932, 8.7398 50.5852, 8.7426 50.5565, 8.7059 50.5437, 8.6746 50.5644, 8.6163 50.5272)))",22.0
08118078,[ 10.0 ],Freiberg am Neckar,[ 5 ],freiberg-am-neckar,GEMEINDE,,"MULTIPOLYGON (((9.0887 48.9258, 9.1533 48.9371, 9.1515 48.9482, 9.1851 48.9451, 9.2216 48.9504, 9.2255 48.9301, 9.1861 48.915, 9.1539 48.9238, 9.1383 48.92, 9.1265 48.9088, 9.0887 48.9258)))",4.0
09673142,[ 7.7999999999999998 ],Mellrichstadt,[ 3 ],mellrichstadt,GEMEINDE,,"MULTIPOLYGON (((10.3296 50.4099, 10.2452 50.4237, 10.2334 50.4179, 10.2506 50.4066, 10.2357 50.3995, 10.2085 50.4136, 10.2249 50.4203, 10.2484 50.4326, 10.2989 50.4427, 10.3008 50.4828, 10.3018 50.4935, 10.326 50.4944, 10.3478 50.4604, 10.3816 50.4392, 10.3705 50.4318, 10.4031 50.4262, 10.3842 50.4061, 10.3296 50.4099)), ((10.3131 50.372, 10.3115 50.3726, 10.3192 50.3983, 10.3419 50.3791, 10.3131 50.372)))",3.0
